Name,Country_ of_Registry,Country_of_Operator,Users,Purpose,Class_of_Orbit,Launch_Mass,Date_of_Launch,Launch_Site,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amsat-Oscar 7 (AO-7),USA,USA,Civil,Communications,LEO,29,11/15/74,Vandenberg AFB,American amateur radio satellite.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TDRS-3 (Tracking and Data Relay Satellite, TDRS-C) ",USA,USA,Government,Communications,GEO,"3,180",9/29/88,Cape Canaveral,Backup; still partially operational.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLTSATCOM-8 (USA 46),USA,USA,Military,Communications,GEO,"2,310",9/25/89,Cape Canaveral,Old system replaced by UFO satellites; this satellite still operational as of 2009.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hubble Space Telescope (HST, Space Telescope)",USA,ESA/USA,Government,Space Science,LEO,"11,110",4/25/90,Cape Canaveral,Exploration of space.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skynet 4C ,United Kingdom,United Kingdom,Military,Communications,GEO,"1,474",8/30/90,Guiana Space Center,Spare. In March 2010 it was announced that the satellite would supplement communications at Antarctica. Provides 5 hrs of communication to the National Science Foundation each day.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TDRS-5 (Tracking and Data Relay Satellite, TDRS-E)",USA,USA,Government/Commercial,Communications,GEO,"3,180",8/2/91,Cape Canaveral,Used by South Pole station.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geotail (Geomagnetic Tail Laboratory),Japan,Multinational,Government,Space Science,Elliptical,980,7/24/92,Cape Canaveral,Study the dynamics of the Earth's magnetotail over a wide range of distance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TDRS-6 (Tracking and Data Relay Satellite, TDRS-F)",USA,USA,Government/Commercial,Communications,GEO,"3,180",1/13/93,Cape Canaveral,"Tracking and communications with space shuttle, other missions; leased access to C-band by Americom.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCD-1 (Satélite de Coleta de Dados),Brazil,Brazil,Government,Earth Observation,LEO,110,2/9/93,Cape Canaveral,Collects meteorological and environmental data on the Amazon region; barely functioning.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UFO-2 (USA 95) ""UHF Follow-On""",USA,USA,Military,Communications,GEO,"3,200",9/3/93,Cape Canaveral,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application. Inclined.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
